MonitoringLocation,SampleDate,Depth,Layer,Parameter,MeasureValue,Unit,Latitude,Longitude
CB3.2,11/13/90,0.5,S ,PH,7.7,SU,39.08397,-76.18145
CB3.2,11/13/90,0.5,S ,SALINITY,2.65,PPT,39.08397,-76.18145
CB3.2,11/13/90,0.5,S ,WTEMP,9.8,DEG C,39.08397,-76.18145
CB3.2,11/14/02,0.5,S ,PH,7.6,SU,39.08397,-76.18145
CB3.2,11/14/02,0.5,S ,SALINITY,6.99,PPT,39.08397,-76.18145
CB3.2,11/14/02,0.5,S ,WTEMP,10,DEG C,39.08397,-76.18145
CB3.2,11/14/85,0.5,S ,PH,7.7,SU,39.08397,-76.18145
CB3.2,11/14/85,0.5,S ,SALINITY,12.53,PPT,39.08397,-76.18145
CB3.2,11/14/85,0.5,S ,WTEMP,14,DEG C,39.08397,-76.18145
CB3.2,11/14/89,0.5,AP,PH,7.7,SU,39.08397,-76.18145
CB3.2,11/14/89,0.5,AP,SALINITY,7.87,PPT,39.08397,-76.18145
CB3.2,11/14/89,0.5,AP,WTEMP,12.8,DEG C,39.08397,-76.18145
CB3.2,11/14/89,0.5,S ,PH,7.7,SU,39.08397,-76.18145
CB3.2,11/14/89,0.5,S ,SALINITY,7.87,PPT,39.08397,-76.18145
CB3.2,11/14/89,0.5,S ,WTEMP,12.8,DEG C,39.08397,-76.18145
CB3.2,11/15/00,0.5,S ,PH,7.7,SU,39.08397,-76.18145
CB3.2,11/15/00,0.5,S ,SALINITY,12.07,PPT,39.08397,-76.18145
CB3.2,11/15/00,0.5,S ,WTEMP,12.2,DEG C,39.08397,-76.18145
CB3.2,11/15/01,0.5,S ,PH,8.1,SU,39.08397,-76.18145
CB3.2,11/15/01,0.5,S ,SALINITY,13.93,PPT,39.08397,-76.18145
CB3.2,11/15/01,0.5,S ,WTEMP,12,DEG C,39.08397,-76.18145
CB3.2,11/15/05,0.5,S ,PH,8.4,SU,39.08397,-76.18145
CB3.2,11/15/05,0.5,S ,SALINITY,7.24,PPT,39.08397,-76.18145
CB3.2,11/15/05,0.5,S ,WTEMP,13.8,DEG C,39.08397,-76.18145
CB3.2,11/15/06,0.5,S ,PH,8.1,SU,39.08397,-76.18145
CB3.2,11/15/06,0.5,S ,SALINITY,5.02,PPT,39.08397,-76.18145
CB3.2,11/15/06,0.5,S ,WTEMP,13,DEG C,39.08397,-76.18145
CB3.2,11/15/17,0.5,S ,PH,7.8,SU,39.08397,-76.18145
CB3.2,11/15/17,0.5,S ,SALINITY,8.69,PPT,39.08397,-76.18145
CB3.2,11/15/17,0.5,S ,WTEMP,11.3,DEG C,39.08397,-76.18145
CB3.2,11/16/11,0.5,AP,PH,7.9,SU,39.08397,-76.18145
CB3.2,11/16/11,0.5,AP,SALINITY,2.71,PPT,39.08397,-76.18145
CB3.2,11/16/11,0.5,AP,WTEMP,11.4,DEG C,39.08397,-76.18145
CB3.2,11/16/11,0.5,S ,PH,7.9,SU,39.08397,-76.18145
CB3.2,11/16/11,0.5,S ,SALINITY,2.71,PPT,39.08397,-76.18145
CB3.2,11/16/11,0.5,S ,WTEMP,11.4,DEG C,39.08397,-76.18145
CB3.2,11/16/12,0.5,S ,PH,8,SU,39.08397,-76.18145
CB3.2,11/16/12,0.5,S ,SALINITY,11.34,PPT,39.08397,-76.18145
CB3.2,11/16/12,0.5,S ,WTEMP,10.1,DEG C,39.08397,-76.18145
CB3.2,11/16/16,0.5,S ,PH,8.2,SU,39.08397,-76.18145
CB3.2,11/16/16,0.5,S ,SALINITY,11.87,PPT,39.08397,-76.18145
